EntryTime,Signal,EntryPrice,ExitPrice,ProfitLoss
01/02/2025 14:30:00,Sell,513.79,514.16,-429.611850
01/02/2025 14:31:00,Sell,514.009,514.57,-521.5154075
01/02/2025 14:32:00,Buy,514.59,514.185,-444.0641625
01/02/2025 14:33:00,Sell,513.43,511.95,468.178040
01/02/2025 14:35:30,Sell,511.3723,511.21,-169.95869005
01/02/2025 14:45:00,Sell,511.52,512.11,-535.482090
01/02/2025 14:47:30,Sell,512.16,512.04,-189.776400
01/02/2025 14:48:30,Sell,512.44,513.0554,-546.02348680
01/02/2025 14:51:00,Sell,513.33,514.05,-594.638580
01/02/2025 14:53:00,Sell,514.27,515.06,-626.239200
01/02/2025 14:55:30,Buy,515.33,515.344,-239.6390860
01/02/2025 14:56:30,Sell,515.4,515.12,-112.219020
01/02/2025 15:03:00,Sell,515.29,515.1,-155.118015
01/02/2025 15:04:00,Buy,515.31,516,83.162565
01/02/2025 15:06:00,Sell,516.4,515.6,135.18400
01/02/2025 15:07:30,Buy,515.95,516.01,-217.502460
01/02/2025 15:08:30,Buy,516.075,515.97,-295.6067100
01/02/2025 15:09:30,Sell,516.08,516.31,-354.442625
01/02/2025 15:11:30,Sell,516.29,516.15,-178.704500
01/02/2025 15:13:00,Buy,516.2076,516.2901,-205.59695490
01/02/2025 15:16:00,Buy,515.97,515.8676,-293.08311120
01/02/2025 15:17:30,Sell,515.344,512.7881,967.82929230
01/02/2025 15:28:30,Buy,512.6,512.27,-403.526365
01/02/2025 15:31:00,Buy,511.88,512.11,-134.793610
01/02/2025 15:32:30,Buy,512.4001,512.25,-316.63917390
01/02/2025 15:33:30,Sell,512.3737,512.38,-247.40885745
01/02/2025 15:35:00,Buy,511.85,512.03,-158.335380
01/02/2025 15:36:00,Sell,511.9645,512.71,-599.98836825
01/02/2025 15:37:30,Buy,512.33,512.2997,-257.74205375
01/02/2025 15:39:00,Buy,512.1787,512.15,-256.91056625
01/02/2025 15:41:30,Buy,511.57,511.65,-205.014750
01/02/2025 15:44:00,Sell,511.56,511.54,-232.994700
01/02/2025 15:49:00,Sell,512.98,513.34,-413.004680
01/02/2025 15:53:00,Buy,512.32,513.5694,347.60690160
01/02/2025 15:55:00,Sell,513.09,510.92,782.573640
01/02/2025 16:11:30,Sell,511.7523,513.2,-931.08367125
01/02/2025 16:33:30,Sell,513.13,512.63,-6.079360
01/02/2025 17:21:30,Sell,512.8335,510.49,864.62765400
01/02/2025 17:28:00,Sell,510.41,507.7699,1014.36078380
01/02/2025 17:38:00,Sell,507.3199,507.5199,-340.26897190
01/02/2025 17:39:30,Sell,507.41,507.65,-358.814400
01/02/2025 17:41:30,Sell,507.41,506.92,-8.239200
01/02/2025 17:42:30,Sell,506.935,507.2,-370.5924000
01/02/2025 17:43:30,Sell,507.4591,507.06,-51.80842445
01/02/2025 17:45:30,Buy,507.23,507.1022,-304.14876190
01/02/2025 17:47:00,Buy,506.76,506.68,-281.038880
01/02/2025 17:48:30,Buy,506.67,506.15,-490.623980
01/02/2025 17:50:00,Buy,506.11,507.38,364.835890
01/02/2025 17:57:30,Sell,507.73,507.3,-36.974655
01/02/2025 18:08:00,Sell,507.55,506.9973,21.66836895
01/02/2025 18:12:00,Sell,506.79,506.55,-127.468260
01/02/2025 18:17:30,Sell,506.6,507,-433.45040
01/02/2025 18:30:30,Sell,506.81,508.36,-981.468045
01/02/2025 19:07:00,Sell,507.95,507.995,-262.1089650
01/02/2025 19:23:30,Sell,508.415,508.29,-181.3257325
01/02/2025 19:42:30,Sell,508.49,509.1801,-567.09627865
01/02/2025 19:49:00,Sell,508.96,510.1426,-797.00326230
01/02/2025 20:32:30,Buy,510.37,509.69,-556.934040
01/02/2025 20:35:30,Sell,509.3641,509.58,-339.47411940
01/02/2025 20:46:00,Sell,509.945,509.98,-254.4974875
01/02/2025 20:48:30,Buy,509.95,510.49,13.877480
01/02/2025 20:50:30,Buy,510.24,510.53,-102.699410
01/03/2025 14:30:00,Buy,513.51,513.75,-126.690690
01/03/2025 14:31:00,Sell,514.1485,514.1824,-253.20623790
01/03/2025 14:35:30,Buy,514.12,514.23,-186.728850
01/03/2025 14:37:00,Sell,514.71,514.65,-209.607480
01/03/2025 14:39:00,Buy,515.6,515.8399,-126.60135705
01/03/2025 14:40:30,Sell,516.038,515.52,1.0194390
01/03/2025 14:47:30,Sell,515.09,514.68,-48.247100
01/03/2025 14:48:30,Sell,514.89,514.655,-128.6953500
01/03/2025 14:56:00,Sell,514.94,515.01,-268.503525
01/03/2025 15:01:00,Sell,514.71,515.33,-520.974180
01/03/2025 15:02:30,Sell,515.16,514.41,107.728470
01/03/2025 15:12:30,Sell,515.0102,514,227.02826420
01/03/2025 15:17:30,Sell,513.6601,513.9842,-385.44418900
01/03/2025 15:18:30,Sell,513.76,512.72,241.782840
01/03/2025 15:22:00,Sell,512.945,513.44,-463.7685500
01/03/2025 15:24:00,Sell,513.3,513.87,-497.365515
01/03/2025 15:25:00,Sell,514.19,513.97,-134.394560
01/03/2025 15:28:30,Sell,514.4,515.03,-523.134755
01/03/2025 15:37:00,Buy,515.18,514.895,-364.0170625
01/03/2025 15:38:30,Sell,514.52,514.78,-352.465750
01/03/2025 15:51:30,Sell,514.82,517.47,-1437.429830
01/03/2025 16:57:00,Sell,517.68,518.82,-744.554250
01/03/2025 20:29:30,Buy,518.84,518.42,-418.628980
01/03/2025 20:54:30,Sell,518.395,518.6962,-365.60653760
01/03/2025 20:57:00,Buy,518.57,518.5808,-225.96005300
01/06/2025 14:30:00,Sell,523.97,524.03,-256.960000
01/06/2025 14:32:00,Sell,524.675,524.26,-48.0562325
01/06/2025 14:33:00,Sell,524.89,524.85,-212.857930
01/06/2025 14:35:30,Buy,524.739,524.85,-181.2419910
01/06/2025 14:36:30,Sell,525.08,524.96,-177.398760
01/06/2025 14:37:30,Sell,525.2103,525.88,-522.32213055
01/06/2025 14:43:30,Buy,525.8,525.89,-190.028420
01/06/2025 14:46:30,Sell,526.2,525.84,-72.218700
01/06/2025 14:52:00,Sell,525.84,526.205,-387.5947875
01/06/2025 14:54:00,Sell,526.42,526.15,-111.227690
01/06/2025 14:56:00,Sell,526.06,526.02,-210.941360
01/06/2025 15:02:00,Sell,526.26,525.851,-50.6850315
01/06/2025 15:06:30,Sell,525.87,525.6,-110.988990
01/06/2025 15:11:30,Buy,526.07,526.16,-188.837795
01/06/2025 15:12:30,Sell,526.055,527.5,-853.7796575
01/06/2025 15:31:00,Sell,527.095,526.75,-78.2266750
01/06/2025 15:39:00,Buy,526.8,527.07,-110.738985
01/06/2025 15:46:00,Buy,527.47,527.15,-364.343300
01/06/2025 16:16:30,Sell,527.49,525.13,786.653010
01/06/2025 17:55:00,Sell,525.37,524.75,41.014080
01/06/2025 18:02:30,Sell,524.8734,523.42,402.36667890
01/06/2025 19:30:00,Sell,523.4,523.88,-436.583400
01/06/2025 20:30:30,Sell,524.28,524.08,-140.369940
01/06/2025 20:31:30,Buy,523.97,524.06,-187.928495
01/06/2025 20:33:00,Buy,524.09,524.08,-231.258805
01/06/2025 20:39:00,Sell,523.93,522.96,192.911760
01/06/2025 20:50:00,Buy,523.43,524.27,136.892950
01/06/2025 20:55:00,Sell,524.505,524.16,-77.6509725
01/06/2025 20:57:00,Buy,523.84,525.01,279.533975
01/07/2025 14:30:00,Buy,525.6199,525.68,-201.11757840
01/07/2025 14:31:00,Sell,525.67,525.51,-157.934880
01/07/2025 14:32:00,Sell,525.49,525.16,-84.380400
01/07/2025 14:47:00,Sell,524.94,524.99,-248.384880
01/07/2025 14:56:30,Sell,524.25,521.27,1061.527680
01/07/2025 15:04:30,Buy,521.03,521.09,-201.483220
01/07/2025 15:05:30,Buy,521.475,521.18,-355.9187900
01/07/2025 15:07:00,Sell,520.96,520.83,-170.430220
01/07/2025 15:08:30,Sell,520.88,520.155,88.9498875
01/07/2025 15:09:30,Sell,520.207,520.42,-319.7246860
