--- Algorithmic Trading Bot ---
Starting trading engine. Press Ctrl+C to stop.
Market is closed. Waiting for next open in 0d 0h 8m...
Market is closed. Waiting for next open in 0d 0h 7m...
Market is closed. Waiting for next open in 0d 0h 6m...
Market is closed. Waiting for next open in 0d 0h 5m...
Market is closed. Waiting for next open in 0d 0h 4m...
Market is closed. Waiting for next open in 0d 0h 3m...
Market is closed. Waiting for next open in 0d 0h 2m...
Market is closed. Waiting for next open in 0d 0h 1m...
Market is closed. Waiting for next open in 0d 0h 0m...
Market is open. Starting trading engine...
09:30:29 ET | Polling... | Prediction: Hold
09:31:00 ET | Polling... | Prediction: Sell
09:31:00 ET | SIGNAL: SELL | Submitting market order for 428 shares.
09:31:32 ET | HOLDING  | Side: Sell, Qty:  -425, P/L: $29.75
09:32:03 ET | HOLDING  | Side: Sell, Qty:  -428, P/L: ($43.01)
09:32:33 ET | HOLDING  | Side: Sell, Qty:  -428, P/L: $68.27
09:33:04 ET | HOLDING  | Side: Sell, Qty:  -428, P/L: $85.39
09:33:35 ET | HOLDING  | Side: Sell, Qty:  -428, P/L: ($30.17)
09:34:06 ET | HOLDING  | Side: Sell, Qty:  -428, P/L: ($68.69)
09:34:37 ET | HOLDING  | Side: Sell, Qty:  -428, P/L: ($148.08)
09:35:08 ET | HOLDING  | Side: Sell, Qty:  -428, P/L: ($278.45)
09:35:39 ET | HOLDING  | Side: Sell, Qty:  -428, P/L: ($231.37)
09:36:09 ET | EXIT: CONTRARY SIGNAL (BUY) | Submitting order to close -428 shares.
09:36:40 ET | Polling... | Prediction: Buy
09:36:40 ET | SIGNAL: BUY  | Submitting market order for 854 shares.
09:37:11 ET | HOLDING  | Side: Buy , Qty:   854, P/L: $233.51
09:37:42 ET | HOLDING  | Side: Buy , Qty:   854, P/L: $182.27
09:38:13 ET | HOLDING  | Side: Buy , Qty:   854, P/L: $122.49
09:38:44 ET | HOLDING  | Side: Buy , Qty:   854, P/L: ($253.27)
09:39:15 ET | HOLDING  | Side: Buy , Qty:   854, P/L: ($415.53)
09:39:46 ET | HOLDING  | Side: Buy , Qty:   854, P/L: ($620.58)
09:40:16 ET | HOLDING  | Side: Buy , Qty:   854, P/L: ($253.27)
09:40:47 ET | HOLDING  | Side: Buy , Qty:   854, P/L: ($5.61)
09:41:18 ET | EXIT: CONTRARY SIGNAL (SELL) | Submitting order to close 854 shares.
09:41:49 ET | Polling... | Prediction: Sell
09:41:49 ET | SIGNAL: SELL | Submitting market order for 427 shares.
09:42:20 ET | HOLDING  | Side: Sell, Qty:  -427, P/L: $36.39
09:42:51 ET | HOLDING  | Side: Sell, Qty:  -427, P/L: $86.40
09:43:22 ET | HOLDING  | Side: Sell, Qty:  -427, P/L: ($5.41)
09:43:52 ET | HOLDING  | Side: Sell, Qty:  -427, P/L: ($60.92)
09:44:23 ET | HOLDING  | Side: Sell, Qty:  -427, P/L: $20.21
09:44:54 ET | HOLDING  | Side: Sell, Qty:  -427, P/L: $75.72
09:45:24 ET | HOLDING  | Side: Sell, Qty:  -427, P/L: ($78.00)
09:45:55 ET | HOLDING  | Side: Sell, Qty:  -427, P/L: ($65.19)
09:46:26 ET | HOLDING  | Side: Sell, Qty:  -427, P/L: $33.96
