--- Algorithmic Trading Bot ---
Starting trading engine. Press Ctrl+C to stop.
Market is open. Starting trading engine...
14:58:42 ET | Polling... | Prediction: Hold
14:59:13 ET | Polling... | Prediction: Hold
14:59:44 ET | Polling... | Prediction: Hold
15:00:15 ET | Polling... | Prediction: Hold
15:00:48 ET | Polling... | Prediction: Hold
15:01:20 ET | Polling... | Prediction: Hold
15:01:51 ET | Polling... | Prediction: Hold
15:02:22 ET | Polling... | Prediction: Hold
15:02:53 ET | Polling... | Prediction: Hold
15:03:23 ET | Polling... | Prediction: Hold
15:03:54 ET | Polling... | Prediction: Hold
15:04:25 ET | Polling... | Prediction: Hold
15:04:55 ET | Polling... | Prediction: Hold
15:05:26 ET | Polling... | Prediction: Hold
15:05:57 ET | Polling... | Prediction: Hold
15:06:28 ET | Polling... | Prediction: Hold
15:06:58 ET | Polling... | Prediction: Hold
15:07:29 ET | Polling... | Prediction: Hold
15:08:00 ET | Polling... | Prediction: Hold
15:08:31 ET | Polling... | Prediction: Hold
15:09:01 ET | Polling... | Prediction: Hold
15:09:32 ET | Polling... | Prediction: Hold
15:10:03 ET | Polling... | Prediction: Hold
15:10:34 ET | Polling... | Prediction: Hold
15:11:04 ET | Polling... | Prediction: Sell
15:11:04 ET | SIGNAL: SELL | Submitting market order for 431 shares.
15:11:36 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:    0.00%
15:12:07 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:    0.00%
15:12:38 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:    0.00%
15:13:09 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.01%
15:13:40 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.01%
15:14:10 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.01%
15:14:41 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.01%
15:15:12 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.01%
15:15:43 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.01%
15:16:14 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.02%
15:16:45 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.02%
15:17:16 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.03%
15:17:47 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.03%
15:18:18 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.04%
15:18:49 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.04%
15:19:20 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.04%
15:19:51 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.04%
15:20:22 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.05%
15:20:53 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.05%
15:21:24 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.05%
15:21:55 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.05%
15:22:26 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.06%
15:22:57 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.06%
15:23:28 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.08%
15:23:59 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.08%
15:24:30 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.07%
15:25:01 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.07%
15:25:31 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.07%
15:26:02 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.09%
15:26:33 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.09%
15:27:04 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.08%
15:27:35 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.08%
15:28:06 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.08%
15:28:37 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.08%
15:29:08 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.09%
15:29:39 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.09%
15:30:10 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.08%
15:30:41 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.08%
15:31:12 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.09%
15:31:43 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.09%
15:32:14 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.07%
15:32:45 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.07%
15:33:16 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.07%
15:33:47 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.07%
15:34:18 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.10%
15:34:49 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.10%
15:35:20 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.09%
15:35:51 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.09%
15:36:22 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.10%
15:36:53 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.10%
15:37:23 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.07%
15:37:54 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.07%
15:38:25 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.05%
15:38:56 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.05%
15:39:27 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.05%
15:39:58 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.05%
15:40:29 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.05%
15:41:00 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.05%
15:41:31 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.03%
15:42:02 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.02%
15:42:33 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.02%
15:43:04 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:    0.00%
15:43:35 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:    0.00%
15:44:06 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.02%
15:44:37 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.02%
15:45:08 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.04%
15:45:39 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.04%
15:46:10 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.04%
15:46:41 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.04%
15:47:12 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.06%
15:47:43 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.06%
15:48:14 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.07%
15:48:44 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.07%
15:49:15 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.07%
15:49:46 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.07%
15:50:17 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.06%
15:50:48 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.06%
15:51:19 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.12%
15:51:50 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.12%
15:52:21 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.14%
15:52:53 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.14%
15:53:23 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.14%
15:53:54 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.14%
15:54:25 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.15%
15:54:56 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.15%
15:55:27 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.14%
15:55:58 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.14%
15:56:29 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.21%
15:57:00 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.21%
15:57:31 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.16%
15:58:02 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.20%
15:58:33 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.20%
15:59:04 ET | HOLDING  | Side: Sell, Qty:  -431, P/L:   -0.18%
15:59:35 ET | EXIT: END OF DAY LIQUIDATION | Submitting order to close -431 shares.
Market has closed for the day. Consolidating logs and restarting pre-market wait logic.

Consolidating 1 log file(s) for 2025-09-09...

--- End of trading_log_2025-09-09_14-58-41.log ---
