--- Algorithmic Trading Bot ---
Starting trading engine. Press Ctrl+C to stop.
Market is open. Starting trading engine...
10:49:37 ET | Polling... | Prediction: Sell
10:49:37 ET | SIGNAL: SELL | Submitting market order for 422 shares.
10:54:39 ET | HOLDING  | Side: Sell, Qty:  -422, P/L:   -0.03%
10:59:40 ET | HOLDING  | Side: Sell, Qty:  -422, P/L:   -0.02%
11:04:41 ET | HOLDING  | Side: Sell, Qty:  -422, P/L:    0.10%
11:09:42 ET | HOLDING  | Side: Sell, Qty:  -422, P/L:    0.06%
11:14:43 ET | HOLDING  | Side: Sell, Qty:  -422, P/L:    0.06%
11:19:43 ET | EXIT: CONTRARY SIGNAL (BUY) | Submitting order to close -422 shares.
11:24:44 ET | Polling... | Prediction: Hold
11:29:45 ET | Polling... | Prediction: Hold
11:34:46 ET | Polling... | Prediction: Sell
11:34:46 ET | SIGNAL: SELL | Submitting market order for 423 shares.
11:39:47 ET | HOLDING  | Side: Sell, Qty:  -423, P/L:    0.00%
11:44:48 ET | HOLDING  | Side: Sell, Qty:  -423, P/L:    0.04%
11:49:49 ET | HOLDING  | Side: Sell, Qty:  -423, P/L:    0.02%
11:54:50 ET | HOLDING  | Side: Sell, Qty:  -423, P/L:   -0.03%
11:59:51 ET | HOLDING  | Side: Sell, Qty:  -423, P/L:    0.05%
12:04:52 ET | HOLDING  | Side: Sell, Qty:  -423, P/L:    0.05%
12:09:53 ET | HOLDING  | Side: Sell, Qty:  -423, P/L:    0.03%
12:14:54 ET | HOLDING  | Side: Sell, Qty:  -423, P/L:   -0.01%
12:19:55 ET | HOLDING  | Side: Sell, Qty:  -423, P/L:    0.00%
12:24:56 ET | HOLDING  | Side: Sell, Qty:  -423, P/L:    0.00%
12:29:56 ET | HOLDING  | Side: Sell, Qty:  -423, P/L:   -0.03%
12:34:57 ET | HOLDING  | Side: Sell, Qty:  -423, P/L:   -0.02%
12:39:59 ET | HOLDING  | Side: Sell, Qty:  -423, P/L:   -0.03%
12:44:59 ET | HOLDING  | Side: Sell, Qty:  -423, P/L:    0.00%
12:50:00 ET | HOLDING  | Side: Sell, Qty:  -423, P/L:    0.00%
12:55:01 ET | HOLDING  | Side: Sell, Qty:  -423, P/L:   -0.03%
13:00:02 ET | HOLDING  | Side: Sell, Qty:  -423, P/L:   -0.03%
13:05:03 ET | HOLDING  | Side: Sell, Qty:  -423, P/L:   -0.06%
13:10:04 ET | HOLDING  | Side: Sell, Qty:  -423, P/L:   -0.08%
13:15:05 ET | HOLDING  | Side: Sell, Qty:  -423, P/L:   -0.09%
13:20:06 ET | HOLDING  | Side: Sell, Qty:  -423, P/L:   -0.08%
13:25:07 ET | HOLDING  | Side: Sell, Qty:  -423, P/L:   -0.11%
13:30:08 ET | HOLDING  | Side: Sell, Qty:  -423, P/L:   -0.07%
13:35:09 ET | HOLDING  | Side: Sell, Qty:  -423, P/L:   -0.08%
13:40:10 ET | HOLDING  | Side: Sell, Qty:  -423, P/L:   -0.07%
13:45:11 ET | HOLDING  | Side: Sell, Qty:  -423, P/L:   -0.06%
13:50:12 ET | HOLDING  | Side: Sell, Qty:  -423, P/L:   -0.07%
13:55:13 ET | HOLDING  | Side: Sell, Qty:  -423, P/L:   -0.07%
14:00:14 ET | HOLDING  | Side: Sell, Qty:  -423, P/L:   -0.08%
14:05:14 ET | HOLDING  | Side: Sell, Qty:  -423, P/L:   -0.05%
14:10:15 ET | HOLDING  | Side: Sell, Qty:  -423, P/L:   -0.06%
14:15:16 ET | HOLDING  | Side: Sell, Qty:  -423, P/L:   -0.05%
14:20:17 ET | HOLDING  | Side: Sell, Qty:  -423, P/L:   -0.06%
14:25:18 ET | HOLDING  | Side: Sell, Qty:  -423, P/L:   -0.07%
14:30:19 ET | HOLDING  | Side: Sell, Qty:  -423, P/L:   -0.07%
14:35:20 ET | HOLDING  | Side: Sell, Qty:  -423, P/L:   -0.07%
14:40:21 ET | HOLDING  | Side: Sell, Qty:  -423, P/L:   -0.07%
14:45:22 ET | HOLDING  | Side: Sell, Qty:  -423, P/L:   -0.09%
14:50:23 ET | HOLDING  | Side: Sell, Qty:  -423, P/L:   -0.11%
14:55:24 ET | HOLDING  | Side: Sell, Qty:  -423, P/L:   -0.12%
15:00:25 ET | HOLDING  | Side: Sell, Qty:  -423, P/L:   -0.13%
15:05:26 ET | HOLDING  | Side: Sell, Qty:  -423, P/L:   -0.15%
15:10:27 ET | HOLDING  | Side: Sell, Qty:  -423, P/L:   -0.15%
15:15:27 ET | HOLDING  | Side: Sell, Qty:  -423, P/L:   -0.15%
15:20:28 ET | HOLDING  | Side: Sell, Qty:  -423, P/L:   -0.15%
15:25:29 ET | HOLDING  | Side: Sell, Qty:  -423, P/L:   -0.14%
15:30:30 ET | HOLDING  | Side: Sell, Qty:  -423, P/L:   -0.10%
15:35:31 ET | HOLDING  | Side: Sell, Qty:  -423, P/L:   -0.09%
15:40:32 ET | HOLDING  | Side: Sell, Qty:  -423, P/L:   -0.08%
15:45:33 ET | HOLDING  | Side: Sell, Qty:  -423, P/L:   -0.09%
15:50:34 ET | HOLDING  | Side: Sell, Qty:  -423, P/L:   -0.12%
15:55:35 ET | HOLDING  | Side: Sell, Qty:  -423, P/L:   -0.11%
16:00:36 ET | EXIT: MARKET IS CLOSED (FAILSAFE) | Submitting order to liquidate position.
Market has closed for the day. Consolidating logs and restarting pre-market wait logic.

Consolidating 1 log file(s) for 2025-09-16...

--- End of trading_log_2025-09-16_10-49-37.log ---
