Open,High,Low,Close,Volume,Timestamp,VolumeWeightedAveragePrice,NumberOfTransactions,Date
514.27,515.1,514.27,514.74,15573,1735808400000,514.7438,320,01/02/2025 09:00:00
514.7,515.36,514.69,515.3,10980,1735808700000,515.2194,217,01/02/2025 09:05:00
515.4,515.58,515.29,515.42,8509,1735809000000,515.4416,163,01/02/2025 09:10:00
515.4,515.66,515.4,515.53,3239,1735809300000,515.5575,76,01/02/2025 09:15:00
515.5,515.55,515.37,515.52,7604,1735809600000,515.4681,88,01/02/2025 09:20:00
515.57,515.57,515.11,515.37,4138,1735809900000,515.3823,74,01/02/2025 09:25:00
515.35,515.49,515.35,515.36,2778,1735810200000,515.4174,48,01/02/2025 09:30:00
515.44,515.44,514.67,514.67,4280,1735810500000,514.8948,106,01/02/2025 09:35:00
514.88,515.37,514.88,515.37,2938,1735810800000,515.0032,73,01/02/2025 09:40:00
515.46,515.46,515.39,515.39,2030,1735811100000,515.4246,12,01/02/2025 09:45:00
515.39,515.39,515.15,515.18,1514,1735811400000,515.2473,51,01/02/2025 09:50:00
515.37,515.39,515.37,515.39,332,1735811700000,515.3729,16,01/02/2025 09:55:00
515.75,515.76,515.6,515.6,2798,1735812000000,515.7276,69,01/02/2025 10:00:00
515.39,515.39,515.11,515.35,9234,1735812300000,515.2328,82,01/02/2025 10:05:00
515.14,515.14,514.64,514.64,6753,1735812600000,514.8308,117,01/02/2025 10:10:00
514.94,515.25,514.79,515.25,2751,1735812900000,514.9385,49,01/02/2025 10:15:00
515.22,515.32,515.15,515.16,1035,1735813200000,515.2026,49,01/02/2025 10:20:00
515.18,515.18,515.14,515.14,223,1735813500000,515.156,9,01/02/2025 10:25:00
515.33,515.5,515.33,515.5,1407,1735813800000,515.4359,16,01/02/2025 10:30:00
515.5,515.5,515.5,515.5,418,1735814100000,515.4914,14,01/02/2025 10:35:00
515.56,515.56,515.44,515.44,1842,1735814400000,515.5155,29,01/02/2025 10:40:00
515.51,515.55,515.51,515.53,959,1735814700000,515.5348,26,01/02/2025 10:45:00
515.1,515.1,514.8,515,4093,1735815000000,514.9377,49,01/02/2025 10:50:00
515.29,515.53,515.29,515.53,1697,1735815300000,515.4476,32,01/02/2025 10:55:00
515.53,515.53,515,515.27,6265,1735815600000,515.197,68,01/02/2025 11:00:00
515.3,515.32,515,515,1927,1735815900000,515.2097,26,01/02/2025 11:05:00
515.29,515.54,515.29,515.47,4137,1735816200000,515.4692,61,01/02/2025 11:10:00
515.48,515.7,515.48,515.65,2125,1735816500000,515.6184,49,01/02/2025 11:15:00
515.64,515.64,515.64,515.64,1065,1735816800000,515.642,8,01/02/2025 11:20:00
515.49,515.7,515.49,515.7,371,1735817100000,515.5717,20,01/02/2025 11:25:00
515.47,515.47,515.27,515.32,2485,1735817400000,515.3497,68,01/02/2025 11:30:00
515.47,515.69,515.47,515.65,10392,1735817700000,515.6692,36,01/02/2025 11:35:00
515.7,516.1,515.7,516.02,13557,1735818000000,516.0115,112,01/02/2025 11:40:00
516.25,516.69,516.25,516.56,5812,1735818300000,516.5123,113,01/02/2025 11:45:00
516.57,516.57,516.42,516.42,4738,1735818600000,516.4886,67,01/02/2025 11:50:00
516.51,517.27,516.46,517.23,10789,1735818900000,516.7754,142,01/02/2025 11:55:00
517.18,517.4,516.91,517.09,41620,1735819200000,517.1693,364,01/02/2025 12:00:00
517.11,517.48,516.96,517.48,36073,1735819500000,517.21,294,01/02/2025 12:05:00
517.42,517.5,517.24,517.47,19331,1735819800000,517.4014,152,01/02/2025 12:10:00
517.5,517.7,517.39,517.44,15037,1735820100000,517.5527,187,01/02/2025 12:15:00
517.55,517.55,517.3,517.46,9608,1735820400000,517.4593,138,01/02/2025 12:20:00
517.45,517.6,517.37,517.551,7187,1735820700000,517.4808,91,01/02/2025 12:25:00
517.59,517.59,517.22,517.3,29379,1735821000000,517.368,248,01/02/2025 12:30:00
517.19,517.5,517.19,517.331,9226,1735821300000,517.3443,127,01/02/2025 12:35:00
517.45,517.52,516.68,516.81,20228,1735821600000,517.0794,254,01/02/2025 12:40:00
516.81,516.83,516.52,516.52,17660,1735821900000,516.6583,173,01/02/2025 12:45:00
516.5,516.54,515.93,516.34,28332,1735822200000,516.2213,291,01/02/2025 12:50:00
516.29,516.68,516.201,516.63,10154,1735822500000,516.551,150,01/02/2025 12:55:00
517.4,517.72,513.9,516.69,97157,1735822800000,516.4091,1471,01/02/2025 13:00:00
516.66,516.78,516.41,516.551,7154,1735823100000,516.5611,148,01/02/2025 13:05:00
516.5399,516.55,516.33,516.33,7316,1735823400000,516.4025,169,01/02/2025 13:10:00
516.39,516.45,516.15,516.19,8761,1735823700000,516.1595,199,01/02/2025 13:15:00
516.11,516.44,515.91,516.33,18611,1735824000000,516.1225,261,01/02/2025 13:20:00
516.1216,516.159,515.82,516.06,31965,1735824300000,515.9169,335,01/02/2025 13:25:00
516.06,516.63,515.67,516.63,46732,1735824600000,516.1518,456,01/02/2025 13:30:00
516.57,516.98,511.23,516.81,16985,1735824900000,516.3791,273,01/02/2025 13:35:00
516.76,517.15,516.66,517.08,18425,1735825200000,516.8969,305,01/02/2025 13:40:00
517.02,517.03,516.49,516.6,11707,1735825500000,516.5418,288,01/02/2025 13:45:00
516.55,516.55,515.97,516.3198,33061,1735825800000,516.1057,373,01/02/2025 13:50:00
516.1408,516.18,515.93,516,218392,1735826100000,511.5042,220,01/02/2025 13:55:00
516,516,514.11,514.75,119825,1735826400000,515.0163,1262,01/02/2025 14:00:00
514.7101,515.32,514.7101,515.05,28212,1735826700000,514.9629,442,01/02/2025 14:05:00
515.01,515.07,514.64,515.07,36265,1735827000000,514.8787,402,01/02/2025 14:10:00
515.061,515.42,514.66,514.66,30106,1735827300000,515.064,417,01/02/2025 14:15:00
514.67,514.8,514.5,514.611,32870,1735827600000,514.683,430,01/02/2025 14:20:00
514.58,514.62,514.25,514.31,66942,1735827900000,514.4178,559,01/02/2025 14:25:00
514.3,514.92,512.39,512.43,1081235,1735828200000,513.8297,18519,01/02/2025 14:30:00
512.44,512.585,510.16,510.21,839768,1735828500000,511.3345,13494,01/02/2025 14:35:00
510.25,511.56,510.02,511.21,806032,1735828800000,510.793,10680,01/02/2025 14:40:00
511.2,513.38,510.98,513.32,687251,1735829100000,512.0523,8826,01/02/2025 14:45:00
513.4,515.18,513.02,515.13,721539,1735829400000,514.0975,8924,01/02/2025 14:50:00
515.13,515.82,514.92,515.39,713480,1735829700000,515.3675,8295,01/02/2025 14:55:00
515.44,515.97,514.95,515.9152,505627,1735830000000,515.4307,7226,01/02/2025 15:00:00
515.92,516.64,515.58,516.08,501919,1735830300000,516.059,7696,01/02/2025 15:05:00
515.99,516.59,515.69,516.142,330273,1735830600000,516.2361,5561,01/02/2025 15:10:00
